stateid,fips,state,year,lnnetuit,lnstapr,lnfte,lnpc_income
8,10,DE,2004,19.331623,19.065525,10.293704,10.568055
8,10,DE,2005,19.385357,19.124399,10.326825,10.577528
8,10,DE,2006,19.563122,19.187525,10.350383,10.621205
8,10,DE,2007,19.634628,19.258602,10.350383,10.6378
8,10,DE,2008,19.673059,19.296177,10.361513,10.615653
8,10,DE,2009,19.75507,19.305504,10.386438,10.61391
8,10,DE,2010,19.871336,19.29999,10.421388,10.616535
8,10,DE,2011,19.96409,19.167112,10.452995,10.688804
8,10,DE,2012,20.094032,19.171286,10.453688,10.692967
8,10,DE,2013,20.142534,19.183838,10.454927,10.698266
8,10,DE,2014,20.201584,19.23576,10.481701,10.732934
8,10,DE,2015,20.238928,19.228495,10.511676,10.775053
8,10,DE,2016,20.272364,19.245995,10.5043,10.786717
9,12,FL,1990,19.535166,21.220095,12.763303,9.8915672
9,12,FL,1991,19.645338,21.245922,12.82535,9.9071312
9,12,FL,1992,19.859804,21.195829,12.865174,9.9439096
9,12,FL,1993,19.980719,21.189011,12.877572,9.9823446
9,12,FL,1994,20.047173,21.248173,12.890482,10.012791
9,12,FL,1995,19.981558,21.329056,12.908652,10.064586
9,12,FL,1996,19.995113,21.380785,12.914409,10.106428
9,12,FL,1997,20.06568,21.469812,12.905304,10.141638
9,12,FL,1998,20.170229,21.542297,12.908018,10.197388
9,12,FL,1999,20.393082,21.582943,12.888185,10.227345
9,12,FL,2000,20.423899,21.67655,12.910202,10.287218
9,12,FL,2001,20.737925,21.807755,12.950286,10.318903
9,12,FL,2002,20.850367,21.788244,12.999087,10.332441
9,12,FL,2003,20.937134,21.845751,13.074546,10.362367
9,12,FL,2004,20.808338,21.844818,13.122308,10.426558
9,12,FL,2005,20.603016,21.964823,13.131635,10.490218
9,12,FL,2006,20.630465,22.02084,13.138093,10.556177
9,12,FL,2007,20.64888,22.154459,13.157897,10.585195
9,12,FL,2008,20.773281,22.168446,13.200775,10.577452
9,12,FL,2009,20.600943,22.085108,13.244515,10.507257
