opeid5_new,ftfac,ptfac,totfteiarep,tuition,statea,eg
1020,320,179,7567,45433751.4765984,34250373.75440998,71639969.43541329
1047,331,644,13324,61625131.83665349,22507133.71668018,64984635.4725686
1047,331,583,19932,95219364.2055961,36012394.42810557,95573663.97273757
1047,457,950,20214,101228385.0842795,42203192.74075764,107680623.7497381
1047,452,1039,16513,106539981.7955951,50551095.81298999,116995340.0800807
1047,484,1120,20956,114342064.7407407,60573797.77435624,115158087.6470921
1047,505,1155,20017,124678976.5497685,47555598.01660077,148535937.0590024
1047,517,996,15632,140672118.5279552,42780880.55694106,146865119.3276561
1047,585,899,20610,140186731.5032357,42420167.29492768,147532330.3382502
1047,580,820,18938,137918359.9298543,44879730.45541869,143967482.3659942
1047,568,655,16174,127563241.4764548,43567819.19023722,140603944.231566
1057,723,267,11579,37660492.88969991,81691807.07089753,115964677.9735063
1057,726,267,11411,42417515.77595296,84008734.2218167,110694614.2907543
1057,701,264,11411,45810955.75128413,98149845.4765477,119147664.5408219
1057,741,304,12283,53169066.38084617,135521327.6169911,154051895.6674777
1057,725,341,13336,67123970.01189511,94907699.19545823,171674701.5525142
1057,731,322,13506,79096538.31582859,94023212.98296836,176744979.9723574
1057,740,327,13591,85635141.43491484,102452017.4487024,176442392.583874
1057,741,289,13843,92821591.91139497,99490152.43450932,182889831.5538659
1065,104,146,1733,5608388.417680454,18820103.47851615,21980204.93491484
1065,100,134,1841,6312450.110967491,20100286.71031867,23053830.5713284
1065,102,129,1751,7402453.289782711,21642467.94796735,25174957.49645174
1065,107,120,1640,7465631.014936469,24225314.13297513,25706609.35700527
1065,104,109,1645,8230279.043947688,26471764.60782475,25206486.71439916
1065,104,106,1712,8640098.747718977,26368925.62865808,32344157.5822942
1065,109,112,1879,9527654.476505473,26940851.67665247,32372367.06745066
1065,110,123,2039,10739767.18387571,27385072.26906765,33885183.75077723
1065,108,130,1998,11311538.05885036,28066145.07948094,35012957.98225871
1065,141,179,1936,11555658.19316031,29261188.75468032,34013292.65620776
1085,158,91,2664,3242142.431932617,14024973.97794167,15367838.38123479
1085,147,62,2641,3609454.426610232,14245795.85316977,15816788.84125777
1085,147,32,2606,3370220.302759191,15590159.61576608,16899659.88015342
1085,151,59,2478,3845722.806121587,16330812.07693802,17974426.03826203
1085,150,68,2724,3858170.591798459,17301484.29408286,19284588.69747736
1085,147,50,2801,4939896.259842187,17427494.48442147,19300557.94087084
1085,149,58,3043,3911315.411394971,17116754.69341376,24190190.7199581
1085,152,85,3193,7803494.079962489,17577004.65876757,24123847.46520174
1085,155,78,3212,8352028.765063193,17688090.11410178,25335800.15039537
1085,152,68,3131,8367922.361609556,17701302.12690085,26227131.4327183
1089,230,134,6111,13066190.92360266,23740347.04524026,26679245.48268113
1089,241,104,6204,16811719.45054407,24112349.14443937,28520180.36539436
1089,256,146,6388,18027628.07790957,28621959.31886996,31917492.8773993
1089,270,109,6565,19272965.26846783,30439361.243309,34533945.65915619
1089,286,128,6759,20710718.94316031,33050832.00130102,38605592.59319241
1089,299,131,6863,21680576.50195154,32842324.07502027,38601936.32891491
1089,301,156,7919,22571106.70356008,32233572.55994863,45566869.56107225
1089,301,168,8517,23345142.70026527,32961146.84505102,49529714.02282711
1089,321,190,8907,27268899.07834888,34163489.47116619,53715387.91075291
1089,346,203,9039,28458147.04126115,33975519.66387875,56757765.41606684
1092,413,101,9234,25038516.76969282,40865073.72237429,48992931.7543086
1092,479,130,10804,37234365.47138584,43851828.48893282,61367241.06667342
1092,511,187,11204,48854355.45886557,56094051.61740504,74272976.26888178
1092,513,200,10654,55553605.32595803,54287967.62509292,86597354.78282137
1092,528,190,10252,44265444.11269937,55424547.92544437,84568089.31554981
1092,542,186,10232,43909141.64377196,55117277.22125912,86738448.7605096
1098,157,62,3147,6069325.993477967,17034632.2822131,19416979.4084212
