fy,state_abbrev,fips,y,x1,x2,x3,x4,x5,MD,decade,state,region_compact,state_name,yfte,MDSREB,lnnetut,lnfte,lnperinc
2007,AK,2,288123424,78779792,18665.76,4944486912,29839,680300,0,3,AK,2,ALASKA,15435.934,,18.182167,9.834446,10.303572
2008,AK,2,300872928,85036008,18723.1,9735073792,32825,687455,0,3,AK,2,ALASKA,16069.611,,18.258585,9.837513,10.398946
2009,AK,2,323420320,90140944,19030.17,6358792192,32896,698895,0,3,AK,2,ALASKA,16995.135,,18.316885,9.8537807,10.401106
2010,AK,2,336883936,98656536,20291.381,6167526912,35294,713906,0,4,AK,2,ALASKA,16602.316,,18.407156,9.9179516,10.471468
2011,AK,2,349617088,108215272,21089.83,7292154880,37828,722038,0,4,AK,2,ALASKA,16577.52,,18.499634,9.9565458,10.540805
2012,AK,2,365632352,112276808,21673.631,8668072960,39169,730399,0,4,AK,2,ALASKA,16869.916,,18.536478,9.9838514,10.575641
2013,AK,2,382098784,111853760,21150.619,6792744960,38860,737045,0,4,AK,2,ALASKA,18065.607,,18.532703,9.959424,10.56772
2014,AK,2,399052672,106797960,20483.939,5568495104,41110,736307,0,4,AK,2,ALASKA,19481.246,,18.48645,9.9273968,10.624006
2015,AK,2,400282624,106247232,19933.5,2585052928,42470,737547,0,4,AK,2,ALASKA,20080.9,,18.481279,9.900157,10.656553
2016,AK,2,377066688,112992048,19268.9,2827026944,41536,741504,0,4,AK,2,ALASKA,19568.666,,18.542828,9.8662481,10.634315
2017,AK,2,352480704,112935120,18492.23,3030264064,42015,739786,0,4,AK,2,ALASKA,19061.016,,18.542324,9.8251057,10.645782
2018,AK,2,343870912,113029904,17555.26,,43818,737438,0,4,AK,2,ALASKA,19587.914,,18.543163,9.7731085,10.6878
1980,AZ,4,231800000,66700000,120148,2738160128,26478,2737774,0,1,AZ,2,ARIZONA,1929.2872,,18.015715,11.69648,10.18407
1981,AZ,4,267900000,80100000,121835,2750896128,30247,2810108,0,1,AZ,2,ARIZONA,2198.8755,,18.198786,11.710423,10.317152
1982,AZ,4,307400000,87600000,122762,2890722048,32197,2889860,0,1,AZ,2,ARIZONA,2504.0322,,18.288292,11.718003,10.379628
1983,AZ,4,284100000,93400000,125103,3153451008,35453,2968924,0,1,AZ,2,ARIZONA,2270.9287,,18.352402,11.736893,10.475964
1984,AZ,4,328000000,107700000,121672,3804295936,40056,3067134,0,1,AZ,2,ARIZONA,2695.7722,,18.49486,11.709085,10.598034
1985,AZ,4,353800000,121900000,117861,4386103808,44570,3183539,0,1,AZ,2,ARIZONA,3001.8411,,18.618711,11.677261,10.704816
1986,AZ,4,410500000,134700000,118610,4896410112,48739,3308261,0,1,AZ,2,ARIZONA,3460.9224,,18.718561,11.683596,10.794235
1987,AZ,4,431100000,157500000,124340,5439671808,52518,3437103,0,1,AZ,2,ARIZONA,3467.1062,,18.874935,11.730775,10.868911
1988,AZ,4,470700000,173400000,129939,5898038784,56718,3535183,0,1,AZ,2,ARIZONA,3622.469,,18.971111,11.77482,10.945847
1989,AZ,4,516600000,198400000,139868,6543518208,60863,3622184,0,1,AZ,2,ARIZONA,3693.4824,,19.105795,11.848454,11.01638
1990,AZ,4,530400000,225900000,148735,7040359936,63821,3684097,0,2,AZ,2,ARIZONA,3566.074,,19.235603,11.909922,11.063838
1991,AZ,4,566800000,254700000,154864,7509223936,67175,3788576,0,2,AZ,2,ARIZONA,3659.9856,,19.355597,11.950302,11.115056
1992,AZ,4,568099968,266500000,159040,7764418048,71692,3915740,0,2,AZ,2,ARIZONA,3572.0571,,19.400885,11.976911,11.180135
1993,AZ,4,577100032,275700000,158969,8374057984,77041,4065440,0,2,AZ,2,ARIZONA,3630.2678,,19.434824,11.976464,11.252093
1994,AZ,4,581200000,306600000,158876,8873032704,84344,4245089,0,2,AZ,2,ARIZONA,3658.1987,,19.541054,11.97588,11.342659
1995,AZ,4,626200000,323000000,160757,9665967104,91989,4432499,0,2,AZ,2,ARIZONA,3895.3203,,19.593163,11.987649,11.429424
