endyear,opeid5_new,lneg,lnstatea,lntuition,lntotfteiarep,lnftfac,lnptfac
2012,1138,18.666885,17.883772,18.264074,9.4514809,5.7397928,5.894403
2013,1138,18.758154,17.894564,18.266468,9.4694691,5.7235851,5.9814143
2004,1139,19.096239,18.991245,18.117428,10.218736,6.8855095,6.7787848
2006,1139,19.173887,18.963573,18.336643,10.261127,6.8814111,6.8906093
2008,1139,19.454411,19.110224,18.418051,10.331367,6.9421568,6.9517722
2009,1139,19.466522,18.96237,18.490887,10.338252,6.9275579,7.0228682
2010,1139,19.365602,18.612928,18.567999,10.257519,6.9097533,6.8167357
2011,1139,19.458218,18.909061,18.611828,10.210641,6.8606639,6.7557688
2012,1139,19.480148,18.601435,18.792587,10.243347,6.872128,6.8617115
2013,1139,19.479399,18.627468,18.79916,10.250193,6.8522425,6.7833252
2004,1140,18.631428,18.555138,17.662479,9.7419682,6.418365,6.1114674
2006,1140,18.623129,18.548801,17.799725,9.7543497,6.3664703,6.329721
2008,1140,18.847038,18.679171,17.885635,9.7872906,6.363028,6.4738908
2009,1140,18.930231,18.342356,17.934393,9.7879086,6.3733196,6.4216223
2010,1140,18.803968,18.437473,17.761095,9.7243013,6.3647509,6.1333981
2011,1140,18.901617,18.528259,17.811289,9.6571398,6.3225651,6.2065759
2012,1140,18.900969,18.310778,17.990768,9.7457218,6.3368258,6.300786
2013,1140,18.940531,18.326742,18.1052,9.7725811,6.329721,6.2915692
2004,1141,18.053289,18.003374,17.077696,9.1578884,5.7430034,6.1758671
2006,1141,18.0364,17.990253,17.190277,9.126524,5.6733232,5.9348941
2008,1141,18.343407,18.060558,17.308664,9.1280451,5.7651911,5.971262
2009,1141,18.383196,17.733923,17.391891,9.164506,5.7365723,5.9738097
2010,1141,18.235836,17.927488,17.593489,9.2588444,5.6970935,5.7651911
2011,1141,18.381077,18.028252,17.593603,9.2059307,5.6347895,5.8435445
2012,1141,18.379776,17.831045,17.843206,9.2409668,5.6167712,6.0450053
2013,1141,18.411329,17.790102,17.789778,9.1965456,5.5909872,6.075346
2004,1142,18.402807,18.316635,17.077166,9.5275574,6.1758671,5.9914646
2006,1142,18.377569,18.304953,17.235569,9.554781,6.1114674,6.0038872
2008,1142,18.707462,18.467659,17.738209,9.5886402,6.1569791,6.0520892
2009,1142,18.766256,18.114611,17.860479,9.6434851,6.1569791,6.1158919
