STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,EarnHr
10520,2,5,-.482,2,9
10528,1,8,.2883,4,8
10531,2,8,-.3499,2,8
10534,2,8,1.2371,5,10
10535,2,8,.9419999999999999,5,10
10546,1,8,1.1911,5,15
10548,2,8,.3837,4,10
10549,2,5,-.7077,2,0
10554,2,5,-1.1012,1,6
10558,2,5,-1.1433,1,0
10559,2,8,1.1431,5,12.5
10560,1,8,.4189,4,9
10564,2,8,1.1667,5,10
10565,1,8,-.3007,3,9
10573,2,5,-.7933,1,9
10575,1,8,.3514,4,10
10576,2,8,-.1677,3,0
10579,1,8,.1099,4,0
10580,1,8,.1874,4,10
10589,2,8,.2801,4,8
10592,2,8,.5941,5,0
10596,2,8,.421,4,8
10599,2,8,.2188,4,9
10603,2,8,1.3586,5,8
10606,1,5,-1.0251,1,0
10607,2,8,-.1277,3,10
10609,2,8,1.0269,5,7
10612,2,8,1.1475,5,8
10613,2,2,.2706,4,12.5
10615,1,3,-.2477,3,9
10616,2,5,.3672,4,15
10617,2,8,.1367,4,0
10628,2,2,-.8602,1,12.5
10630,2,3,-1.0375,1,0
10632,1,8,-.5592,2,6
10633,1,3,.8692,5,0
10635,1,2,1.3326,5,0
10643,2,5,-.7281,1,0
10644,2,5,.0374,3,9
10645,1,6,-.0754,3,10
10646,2,6,.3259,4,8
10647,2,8,-.0996,3,15
10649,2,8,.8831,5,10
10653,1,8,.4613,4,12.5
10655,2,8,1.0269,5,12.5
10661,2,6,1.3935,5,7
10662,1,8,1.3306,5,6
10666,2,8,1.1217,5,9
10668,2,8,.1173,4,0
10672,2,5,-.0289,3,9
10675,2,8,-.3551,2,7
10677,1,8,.5316,4,8
10680,1,6,.3952,4,9
10687,1,8,.756,5,7
10695,1,3,.6152,5,8
10696,2,8,.028,3,0
10697,1,5,.7541,5,8
10701,2,5,.8583,5,6
10704,1,8,.1241,4,10
10705,2,8,1.0912,5,8
10708,1,8,1.1097,5,6
10709,1,8,.273,4,8
10712,2,8,-.6714,2,7
10713,1,8,1.4744,5,0
10718,2,5,-.382,2,8
10723,1,8,1.013,5,0
10724,2,2,.308,4,0
10726,2,8,1.7902,5,8
10728,1,8,.2238,4,8
10730,2,3,.1646,4,0
10731,1,8,-.5506,2,7
10733,2,8,-.4549,2,6
10734,1,2,1.1341,5,10
10737,2,8,.7961,5,9
10740,2,8,-.3641,2,8
10743,1,8,-.2075,3,8
10745,1,5,1.2108,5,10
10756,2,8,.4308,4,8
10759,1,8,-.3431,2,8
10761,2,8,1.0326,5,9
10762,2,4,-.2838,3,0
10767,2,3,-.1256,3,7
10768,2,3,-1.0525,1,7
10770,1,8,.3538,4,8
10771,1,8,.4895,4,0
10772,1,8,-.387,2,9
10781,2,8,1.0925,5,9
10786,2,8,-1.1012,1,6
10788,1,8,1.412,5,0
10789,1,6,.0506,4,0
10794,1,8,-.4046,2,9
10795,1,8,.8855,5,10
10798,2,8,-.2295,3,8
10800,2,8,-1.245,1,0
10802,1,6,.3581,4,0
10807,1,8,-.6714,2,7
10811,2,8,.0331,3,10
10818,1,8,1.479,5,0
10819,1,8,.0397,3,12.5
10820,2,8,.1703,4,10
10823,1,2,.8268,5,0
10827,2,3,2.2037,5,10
10830,1,6,-.5385,2,0
10834,1,5,-.8879,1,0
10839,1,8,1.4985,5,0
10840,1,8,.726,5,0
10842,2,8,-.1838,3,8
10849,1,8,.7014,5,7
10851,1,8,1.0178,5,7
10856,2,8,1.1594,5,8
10857,1,2,.4344,4,0
10860,1,8,.4518,4,0
10866,1,8,.9062,5,10
10870,1,8,.8812,5,12.5
10876,1,8,-.1739,3,0
10882,2,6,-1.0449,1,8
10889,2,8,-.1695,3,0
10890,2,8,-.1915,3,8
10892,2,8,-.4438,2,9
10894,2,6,.8026,5,8
10895,2,8,.6546,5,10
10896,2,2,.6901,5,0
10897,1,2,.0745,4,0
10898,1,5,-.6870000000000001,2,8
10902,2,8,.1339,4,9
10904,2,8,-.5407999999999999,2,9
10906,1,8,.2008,4,8
10907,2,8,-.0197,3,0
10912,1,8,1.3397,5,6
10913,1,5,-.3983,2,0
10914,2,8,-1.2803,1,7
10915,2,2,1.5454,5,0
10922,2,8,-.7751,1,8
10927,1,3,-.0522,3,0
10928,1,8,-.0262,3,25
10930,1,6,.3227,4,9
10932,2,8,1.3314,5,8
10935,1,4,-1.0283,1,0
10938,2,8,-1.0157,1,8
10941,1,5,-.3667,2,15
10943,2,5,-.7927999999999999,1,0
10946,1,8,.3202,4,0
10947,2,8,.2282,4,8
10949,2,5,-.5023,2,7
10952,2,8,1.1049,5,8
10957,2,6,-.8455,1,8
10962,1,8,-.7426,1,0
10963,1,8,-.3755,2,10
10965,2,8,.6354,5,8
10966,2,3,-.791,1,0
10971,1,8,.2416,4,10
10972,2,5,-1.1636,1,9
10975,1,8,-1.245,1,10
10982,1,6,1.4717,5,8
10984,2,8,1.1363,5,6
10985,2,6,-.3841,2,8
10988,2,5,.1875,4,9
10991,1,2,1.5623,5,9
10997,2,8,2.0492,5,0
11009,1,8,-.2917,3,9
11010,2,8,.2592,4,9
11015,1,6,-.4348,2,6
11017,1,8,.0435,3,15
11021,2,8,-.7664,1,0
11022,2,3,.1058,4,10
11026,2,8,-1.2142,1,0
11027,1,8,.1187,4,6
11029,2,3,.2833,4,0
11031,1,5,.2679,4,0
11038,1,8,-.1112,3,10
11045,2,3,-.3268,3,0
11047,1,8,.4402,4,0
11057,2,8,.1714,4,6
11062,2,8,-.0832,3,0
11063,2,5,.6846,5,0
11065,1,6,.2081,4,10
11067,1,6,.1969,4,0
11072,1,2,.0551,4,0
11078,1,8,-1.0351,1,25
11082,1,8,.4698,4,12.5
11083,2,3,-.874,1,7
11084,1,8,1.4754,5,9
11087,1,8,1.5335,5,9
11091,1,3,.16,4,0
11092,1,6,.041,3,0
11100,1,8,.1314,4,0
11104,1,8,.21,4,10
11105,1,8,.4897,4,7
11108,1,8,.2033,4,10
11114,1,8,1.3734,5,10
11119,2,2,-.5377,2,0
11120,2,8,1.2487,5,6
11122,2,8,.1324,4,6
11129,1,8,-.4653,2,7
11132,2,8,1.8772,5,8
11136,2,8,-.2,3,0
11138,1,6,.6899,5,7
11144,1,5,-.5072,2,10
11146,2,8,-.5465,2,7
11150,1,3,.2788,4,0
11157,2,8,-.2033,3,12.5
11159,2,3,-1.1012,1,8
11160,1,8,1.8848,5,10
11164,2,8,1.0871,5,15
11167,2,8,.6768,5,0
11174,2,2,-.2123,3,8
11185,2,8,.895,5,8
11186,2,8,.7183,5,8
11187,2,3,.0027,3,0
11188,2,5,-1.2626,1,0
11191,1,8,.2353,4,8
11217,1,8,-.9147,1,7
11221,1,5,-1.0657,1,6
11226,1,8,-.0176,3,9
11229,2,5,-1.1253,1,0
11230,2,5,-.0472,3,0
11231,2,5,-.4669,2,8
11234,2,6,.5117,4,8
