STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL,P1TUITION
10084,1,8,.0884,4,2,1,-7
10085,1,8,-.2902,3,-7,-8,-8
10086,2,2,-.0996,3,5,-4,-8
10087,1,6,-.9782,1,6,1,0
10088,2,6,.3647,4,-8,1,-8
10089,1,3,.984,5,-8,3,-7
10090,2,6,-.0322,3,2,1,1
10091,1,5,-.7627,1,-8,2,-9
10092,1,8,-.6288,2,-7,-7,-8
10093,1,8,-.1513,3,4,2,-7
10094,1,8,1.7567,5,4,3,-7
10095,2,6,.122,4,3,1,1
10096,2,3,-.3442,2,4,1,0
10097,2,5,.9349,5,2,-4,-9
10099,2,8,1.4352,5,4,1,0
10100,2,8,-.1266,3,6,2,-7
10101,2,8,-.1066,3,-7,-8,-8
10102,1,3,.9312,5,-8,2,1
10103,1,5,-8,-8,-7,-8,-7
10104,1,8,.034,3,-8,-8,-8
10105,2,8,1.0498,5,4,2,0
10106,1,3,-.4907,2,4,-7,-7
10107,2,3,1.2984,5,-8,1,1
10108,2,6,-.4024,2,-8,1,-7
10109,2,6,.0876,4,-7,-7,0
10110,2,8,.5598,5,4,3,-8
10111,1,8,-.6659,2,-7,-7,-7
10112,1,2,1.4591,5,4,2,-7
10113,1,5,-.8455,1,6,2,-7
10114,1,8,-.8048999999999999,1,-7,-7,-7
10115,1,8,-.0649,3,-8,-8,-7
10116,1,5,-.4728,2,-8,-9,1
10117,2,8,.2802,4,4,1,0
10118,1,3,.215,4,4,1,1
10119,1,8,-1.0862,1,-8,-7,-7
10120,1,5,-.7924,1,-8,2,-7
10121,1,6,-.7549,1,-8,-7,-7
10122,2,2,.2871,4,-9,-8,-8
10123,1,8,-8,-8,6,1,-7
10124,2,8,.3555,4,-7,3,-8
10126,1,8,.3709,4,-8,-7,-7
10127,2,3,-.4293,2,6,1,0
10128,1,2,.2533,4,6,1,0
10129,1,6,.2807,4,5,2,-9
10130,2,8,-.7751,1,-8,3,-7
10131,1,5,.5592,5,4,1,0
10132,2,8,.3202,4,4,3,-7
10133,1,5,-1.1259,1,-8,-7,-7
10135,1,8,.2157,4,-8,-8,-7
10136,2,8,-.2589,3,6,-7,-8
10137,1,8,-.4726,2,-7,-7,-7
10138,1,3,-.1636,3,4,1,0
10139,1,8,-.0593,3,-7,-7,-8
10140,2,5,-.6665,2,-8,-8,-7
10141,1,3,-.6333,2,-7,-7,-7
10142,1,4,-.9297,1,-8,-8,-8
10143,1,2,1.0303,5,5,1,-7
10145,1,6,.0676,4,6,-8,-7
10146,2,6,.1079,4,6,3,-7
10147,1,8,-.2751,3,6,-7,-9
10148,1,5,-.7937,1,-8,-8,-8
10149,1,8,.101,4,-7,-8,-7
10150,1,8,.5366,4,-8,-8,0
10151,2,8,-8,-8,-8,-8,-8
10153,1,8,1.1111,5,4,2,-7
10154,1,8,.2565,4,-7,-7,1
10155,1,5,-.9271,1,4,1,-7
10156,1,8,1.9004,5,-7,3,1
10158,1,8,.9834000000000001,5,4,1,0
10159,2,8,.0489,3,6,-8,-7
10160,2,8,.1032,4,6,1,-7
10161,1,8,-.8837,1,4,-7,-7
10162,1,5,-.9416,1,5,-7,-7
10163,1,5,-.0505,3,5,-7,-7
10164,1,2,1.8024,5,4,2,0
10165,1,-9,-8,-8,5,-8,-8
10166,1,8,1.0753,5,2,2,0
10167,1,8,.3253,4,5,-8,-8
10168,1,8,.756,5,4,2,-7
10169,1,8,.1516,4,6,2,1
10170,1,2,.3952,4,4,2,-7
10171,2,8,.8110000000000001,5,4,1,-7
10172,2,8,-1.3184,1,-8,-7,-7
10173,2,8,2.2775,5,4,2,1
10175,1,2,.1268,4,4,1,-8
10176,2,8,-.487,2,-8,-7,-8
10177,1,8,.0301,3,-8,-8,-7
10178,2,8,.4133,4,4,1,0
10179,2,2,-8,-8,-8,2,-8
10180,2,6,.9223,5,4,-7,1
10181,1,-9,-8,-8,-8,-8,-8
10182,1,8,1.3703,5,-8,-8,-7
10183,2,8,.1878,4,4,1,0
10184,1,8,.0462,3,5,1,0
10185,1,4,-8,-8,-8,-8,-8
10186,2,2,-8,-8,-7,-7,-8
10187,2,6,.7085,5,-8,3,-7
10189,2,2,-8,-8,4,1,-8
10190,1,8,.1626,4,-8,-7,-8
10191,2,1,-.281,3,-7,-7,-7
10192,1,7,.0027,3,4,1,-7
10193,2,8,1.0269,5,4,2,1
10194,1,8,-.0327,3,4,2,-7
10195,1,6,1.0087,5,6,1,-9
10196,2,-9,-8,-8,4,-7,-8
10197,1,2,-8,-8,-8,-8,-8
10199,1,5,.1172,4,-7,-7,-7
10200,1,8,-.1942,3,-7,-7,-7
10201,2,8,-.29,3,-8,-8,-8
10202,1,-9,-8,-8,-8,-8,-8
10203,1,2,.0776,4,-8,3,-7
10204,1,5,-8,-8,-7,-4,-7
10205,2,8,.5788,5,4,2,1
10206,2,8,.6767,5,-8,-4,-8
10207,1,1,-.4381,2,-8,1,1
10208,1,8,-.2391,3,-7,-7,-8
10209,1,5,-.3711,2,-8,-7,-7
10210,1,5,2.0292,5,4,1,1
10211,2,8,1.0961,5,6,1,1
10212,1,8,1.9172,5,4,2,-7
10213,2,8,.879,5,4,1,-8
10214,1,6,-.5442,2,5,1,-7
10215,1,6,-.6203,2,-8,-8,-8
10216,1,8,.1295,4,5,3,-7
10217,2,5,-8,-8,4,1,-7
10218,1,8,-.1277,3,-8,1,-7
10219,1,8,.4431,4,5,1,-7
10220,1,8,-.9952,1,5,2,-7
10221,1,6,.1782,4,6,-8,-7
10222,1,2,-.5349,2,-8,-8,-8
10223,2,8,.2131,4,4,1,1
10224,1,8,.5769,5,4,2,-7
10226,2,1,.8994,5,4,2,0
10227,2,3,.2531,4,4,3,-7
10228,2,8,-.5007,2,5,-8,-7
10229,2,8,1.3994,5,4,2,1
10230,1,5,.7785,5,-7,-7,-7
10231,2,4,-8,-8,4,-8,-8
10232,1,8,-1.3419,1,4,1,-7
10233,1,8,1.5235,5,4,2,1
10234,2,3,.8559,5,4,2,-7
10235,2,8,-.2312,3,6,-7,-8
10236,1,8,-.4813,2,3,1,-7
10237,1,-9,-8,-8,-8,1,-8
10238,1,8,.6733,5,-8,2,0
10239,2,5,-.5089,2,5,-4,-7
10240,1,5,-.1403,3,-8,2,-9
10241,1,8,.8973,5,4,1,-7
10242,2,5,-.401,2,-8,-8,-8
10246,2,5,-8,-8,-8,-8,-8
10247,1,8,-.2066,3,4,1,-7
10248,2,5,-1.0134,1,-8,-7,0
10249,1,6,.7983,5,4,2,1
10250,1,8,.1271,4,-8,-8,-8
10251,2,5,-.0643,3,4,2,-7
10252,2,6,.6195000000000001,5,4,1,1
10253,1,3,1.2556,5,4,1,1
10254,2,5,.6675,5,5,2,0
10256,2,3,.4329,4,4,-4,1
10257,2,8,.5718,5,4,2,-7
10258,1,8,.0027,3,-7,-7,-7
10259,2,8,.0839,4,4,-8,1
10260,2,8,1.0476,5,3,-9,0
10261,2,6,-.1181,3,-8,-8,0
10263,1,5,-1.2992,1,-7,-8,-8
10264,2,2,-8,-8,4,1,-8
10265,2,8,-.0714,3,6,-7,-7
10266,2,8,1.6415,5,4,3,-7
10267,1,3,-.317,3,-8,-7,-8
10268,2,-9,-8,-8,6,-7,-8
10270,1,3,-8,-8,-8,-8,-8
10271,2,8,1.6922,5,-8,-8,-9
10272,1,8,1.0189,5,4,1,0
10273,1,8,1.3209,5,5,2,-7
10274,2,8,.3842,4,4,2,-7
10275,1,3,.0885,4,4,2,-7
10277,1,3,-8,-8,4,1,-8
10278,1,5,-.6849,2,-7,-7,-8
10280,1,6,1.4259,5,4,1,1
10281,2,8,-1.1012,1,-7,-7,-7
10282,2,8,.3877,4,-7,2,-7
10283,2,6,.3474,4,5,-7,1
10284,2,4,-.6014,2,4,-4,-8
10285,1,7,-.2233,3,-7,-7,-7
10286,1,8,1.1463,5,5,2,0
10287,2,5,-.1576,3,5,-4,-8
10288,2,8,-.7426,1,2,1,-9
10290,2,3,1.0467,5,4,-4,-7
10291,2,8,.4976,4,-8,-8,-7
10293,1,3,.2201,4,-7,-8,-8
10294,1,8,.5518,5,-7,-7,-7
10297,2,8,1.0708,5,4,2,0
10298,1,-9,-8,-8,-7,-8,-8
10299,2,2,-.452,2,5,-7,-8
10300,2,8,-.6231,2,-8,-8,-7
10301,1,8,.257,4,6,-7,-8
10302,1,3,.1653,4,4,2,1
10303,1,2,-8,-8,5,-8,-8
10304,1,5,1.0639,5,6,-8,-7
10305,2,5,-1.0282,1,5,-7,-7
10306,2,5,-1.4015,1,-8,-7,-8
10307,1,8,-.5600000000000001,2,-7,-7,-8
10308,1,3,-.4475,2,-7,-7,-8
10309,2,3,-.056,3,5,2,1
10310,2,8,-.3751,2,-8,-8,-8
10311,1,3,.4073,4,6,1,-7
10312,2,2,-8,-8,-7,3,-8
10314,2,6,-.755,1,-7,-7,1
10315,1,8,.4571,4,4,2,-8
10316,2,8,1.0407,5,4,2,1
10317,1,3,.7185,5,5,2,-8
10318,1,8,-.1639,3,-8,2,-7
10320,2,2,-8,-8,4,1,-8
10321,1,4,-8,-8,6,-7,-8
10322,1,8,1.4893,5,4,3,-7
10323,2,8,-.2213,3,4,2,-9
10324,2,8,.7921,5,4,1,0
10325,1,5,-.4129,2,-8,1,-7
10326,2,2,2.007,5,4,1,0
10327,1,5,-.8061,1,-7,-7,-8
10328,2,8,2.5308,5,-7,-7,-7
10329,2,8,.3692,4,-8,-8,-8
10330,1,8,-.4794,2,-8,3,-9
10331,2,8,.3282,4,4,2,-7
10332,1,8,.6766,5,-8,2,-7
10333,2,3,-1.5119,1,-7,2,-7
10334,2,5,.4939,4,2,3,-7
10335,2,5,-.3335,3,2,-8,-8
10336,1,8,.0885,4,5,2,-7
10338,1,8,-.0176,3,-8,3,1
10339,1,5,-.3118,3,4,1,1
10340,1,8,.4099,4,4,-8,-8
10341,1,5,-1.1739,1,-7,-8,-7
10342,1,3,.5563,5,-9,1,-7
10343,1,5,-.8471,1,6,-8,-8
10344,2,8,.0502,4,3,3,-7
10345,1,2,1.6564,5,-8,-8,-9
10346,1,7,.1658,4,-7,-7,-7
10347,1,5,-.2206,3,-7,-7,-7
10348,1,5,1.1228,5,4,1,-7
10349,1,5,-.9147,1,-8,-8,-7
10350,2,8,-.5231,2,-7,-7,-7
10351,1,8,.1757,4,6,-7,-7
10352,2,8,.1491,4,-8,2,-8
10353,2,8,-1.1012,1,-7,2,-7
10354,1,8,-.2903,3,-7,-7,-7
10355,1,6,2.0667,5,4,2,0
10356,2,8,.0374,3,-7,2,0
10357,1,8,.2551,4,4,-8,-7
10359,1,2,-.3342,3,4,1,-8
10360,1,2,-8,-8,4,1,-7
10361,1,6,-.4024,2,6,3,1
10362,2,8,-.6665,2,-7,-7,-7
10363,1,8,2.3852,5,6,1,0
10364,2,8,-.1942,3,4,1,1
10365,1,8,1.3874,5,4,2,-7
10366,2,6,-.6411,2,-7,-8,-7
10367,1,6,-.3113,3,4,1,-8
10368,1,-9,-8,-8,6,2,-8
10369,1,8,.2011,4,4,1,-7
10372,1,8,2.4948,5,4,1,1
10373,1,8,.5303,4,4,2,-7
10374,1,8,-.5983000000000001,2,-7,-7,-7
10375,1,8,.6088,5,6,2,-7
10376,1,8,1.3761,5,4,2,0
10377,1,5,-.601,2,-7,-7,-7
10378,2,5,-.8871,1,-7,-7,-7
10379,2,8,1.0802,5,4,1,1
10380,1,3,-8,-8,4,1,-8
10381,1,3,-.8968,1,-8,-7,-8
10383,1,8,1.0162,5,4,1,0
10384,2,3,-1.2098,1,-8,3,0
10385,1,8,1.1209,5,4,2,0
10386,2,6,1.3874,5,4,2,-7
10387,2,5,.1757,4,-8,2,-7
10388,1,3,-.5465,2,-8,-8,-7
10389,2,2,1.1247,5,-8,1,-7
10390,1,8,1.5402,5,3,2,-7
10391,1,3,-.8371,1,-7,-8,-7
10392,2,6,1.0439,5,4,2,-7
10393,2,8,1.6071,5,4,1,-7
10394,1,8,1.0698,5,-8,2,-9
10395,2,8,.0131,3,-7,2,-8
10396,2,8,.5109,4,4,-4,-8
10397,1,3,.9828,5,-8,-4,0
10398,1,2,.0147,3,4,2,-9
10399,2,8,-.0227,3,4,1,-7
10400,1,6,.7403,5,4,-8,-8
10401,2,5,-.324,3,-7,-7,-8
10402,1,3,.8577,5,2,2,-7
10403,1,8,-.4522,2,-8,3,-7
10404,1,8,.9735,5,4,2,-8
10405,1,6,-.0993,3,-8,-8,-8
10406,2,6,.3213,4,-7,-7,-7
10408,1,8,-.3594,2,-7,-7,-7
10409,1,8,1.3204,5,4,2,-7
10410,2,5,.0153,3,-7,-7,-7
10411,2,2,1.0151,5,4,1,-7
10412,1,3,-.7606000000000001,1,-7,-7,-7
10413,2,4,-8,-8,-8,-8,-7
10414,2,8,.3765,4,-8,-9,-9
10415,2,8,-.5439000000000001,2,-7,-7,-8
10416,2,4,-.4455,2,-7,-7,-8
10417,1,8,1.2036,5,4,3,1
10418,1,5,-.1342,3,-8,-8,-8
10419,2,8,.9661,5,4,2,1
10421,2,3,-.5656,2,3,-8,-8
10422,1,3,.2344,4,6,-8,0
10423,1,6,.7237,5,6,2,0
10424,1,8,-.6931,2,-8,-7,-7
10425,1,8,.3094,4,4,2,-7
10426,1,3,-.0306,3,-9,-7,-7
10427,1,2,-8,-8,4,1,-8
10428,2,8,-.1121,3,-8,-8,-7
10429,2,3,-.8914,1,4,1,0
10430,2,6,.6725,5,-8,-8,-7
10431,2,3,-.43,2,5,1,0
10432,1,5,-.5845,2,-8,-8,-8
10433,2,8,-.0817,3,5,-8,1
10434,2,2,.1751,4,3,-7,1
10435,1,3,-.3755,2,6,1,-7
10436,2,8,.494,4,4,3,0
10437,1,8,1.6709,5,4,2,1
10438,1,2,-8,-8,5,-4,-8
10439,1,3,-.43,2,3,2,-7
10440,1,8,.2028,4,-8,-8,-9
10441,1,7,.1538,4,4,-8,1
10442,2,5,-1.2698,1,-7,1,-9
10443,2,3,1.5335,5,4,2,-7
10444,1,8,-.4907,2,-8,-7,-7
10445,2,8,.6538,5,4,1,0
10446,2,5,-.8685,1,6,-7,-8
10447,1,2,-.8993,1,4,1,-7
10448,1,8,.4745,4,4,1,-7
10449,1,8,1.567,5,-7,-7,-7
10450,1,2,-.9992,1,-8,1,-7
10451,2,5,-1.0941,1,6,2,-7
10452,1,5,-.3332,3,5,2,-7
10453,1,5,.4963,4,-8,-8,-7
10454,1,-9,-8,-8,-8,3,-8
10456,1,2,-.4129,2,4,1,1
10457,2,8,.7665,5,-8,3,1
10458,2,2,-.0296,3,4,1,-7
10459,1,3,.0332,3,-7,-7,1
10460,2,8,-.8132,1,-7,-7,-7
10461,1,8,-.1646,3,-7,-7,-7
10463,2,-9,-8,-8,-8,2,-8
10464,2,8,.0588,4,5,1,-9
10465,1,8,-.8132,1,5,1,-7
10466,2,8,-.9262,1,6,2,-8
10467,1,8,-.3706,2,-7,-7,-7
10468,2,6,-.15,3,-7,2,-7
10469,1,3,-.6905,2,-8,-7,-8
10471,1,8,-.5004999999999999,2,6,2,-7
10472,2,8,.2313,4,-8,-7,-7
10473,1,-9,-8,-8,-8,-8,-8
10474,2,8,.7433,5,-8,-8,-9
10475,1,8,.6274999999999999,5,4,3,-7
10476,1,5,-.5354,2,6,-8,-8
10477,1,3,-.4232,2,-8,-7,-7
10478,2,6,-1.1012,1,6,-7,-7
10480,2,3,-.7751,1,-7,-7,-9
10481,2,2,.7785,5,4,1,-7
10483,2,8,.3681,4,4,1,-7
10484,1,6,-.0692,3,-7,-8,-8
10485,1,3,-.4924,2,4,1,-7
10486,2,6,.9828,5,4,2,1
10488,2,8,-.012,3,5,1,1
10489,2,8,-.6811,2,-8,1,-9
10490,2,6,-1.1796,1,-8,-7,-8
10491,2,3,-1.1487,1,-8,-8,-7
10492,2,5,.0478,3,4,1,-7
10493,2,8,-.3554,2,-8,-8,-7
10494,1,8,1.8918,5,4,1,-7
10495,1,8,-.8226,1,-8,-8,-8
10496,1,8,.0829,4,-7,-7,-7
10497,2,8,-.2082,3,-8,-8,-8
10498,1,8,.4358,4,5,2,-7
10499,2,8,.9192,5,4,1,0
10500,2,8,.6763,5,6,-7,-7
10501,2,5,-.4293,2,6,-7,-7
10502,1,8,.3498,4,-8,-7,-7
10503,2,8,.5768,5,-8,-8,-9
10504,1,6,.0391,3,4,-8,-8
10505,1,3,.3902,4,-8,1,-7
10506,1,8,.7523,5,6,2,1
10507,1,3,.5765,5,-9,-7,-8
10508,2,-9,-8,-8,4,-8,-8
10509,2,8,-.8952,1,6,-7,-8
10510,2,8,.5008,4,4,-8,-8
10511,1,5,-.9069,1,5,-8,-7
10512,2,5,-.9534,1,3,1,-7
10513,2,5,-.7751,1,-7,-7,-7
10514,1,3,-1.3682,1,-7,-8,-9
10515,2,8,.1186,4,3,-8,-7
10516,1,8,.0557,4,-7,-7,-8
10517,1,3,.0616,4,6,-8,-8
10518,1,8,-.5858,2,5,2,-7
10519,1,8,1.1228,5,4,1,-7
10520,2,5,-.482,2,2,3,-7
10521,1,2,.8706,5,4,-8,-7
10522,2,-9,-8,-8,-8,-8,-8
10523,1,3,-.2258,3,-7,1,-7
10524,1,-9,-8,-8,4,2,-8
10525,1,6,.1986,4,5,1,-8
10526,2,8,-.9137999999999999,1,-8,-8,-8
10527,2,8,-.2964,3,-7,-8,-8
10528,1,8,.2883,4,4,3,-7
10529,2,-9,-8,-8,4,-4,-8
10530,1,8,1.5003,5,-8,-8,-7
10531,2,8,-.3499,2,-7,-7,-8
10532,2,8,-.8455,1,-7,-8,-7
10533,1,-9,-8,-8,-8,1,-8
10534,2,8,1.2371,5,-7,-7,-8
10535,2,8,.9419999999999999,5,4,1,0
10536,1,5,-.5434,2,-8,-8,-7
10537,1,5,-.2289,3,4,-8,-8
10538,1,-9,-8,-8,-7,1,-8
10540,1,8,1.102,5,6,-8,-7
10541,2,8,-.7212,1,-7,-8,-8
10542,2,8,-.9536,1,-7,-7,-7
10543,1,8,.2128,4,-7,-7,-8
10544,1,5,-1.4203,1,-8,-8,-8
10545,1,8,-.0471,3,-7,-7,-8
10546,1,8,1.1911,5,4,1,-7
10547,2,8,-.2783,3,-8,2,1
10548,2,8,.3837,4,6,1,-8
10549,2,5,-.7077,2,-7,-8,-7
10550,1,2,-8,-8,4,-8,-8
10551,1,6,.3765,4,-8,-8,-7
10552,2,8,.029,3,-7,-7,-8
10553,2,8,-.3332,3,4,1,-7
10554,2,5,-1.1012,1,6,3,-7
10555,2,-9,-8,-8,-8,-8,-8
10556,1,8,-.8725000000000001,1,6,-7,-7
10557,2,3,-.5139,2,-7,-7,-8
10558,2,5,-1.1433,1,6,2,-7
10559,2,8,1.1431,5,4,1,1
10560,1,8,.4189,4,4,1,1
10561,1,8,-.2033,3,-8,-7,-7
10562,1,3,-.239,3,6,-4,-8
10563,1,8,.4149,4,6,3,-7
10564,2,8,1.1667,5,4,1,-9
10565,1,8,-.3007,3,5,2,-7
10566,1,5,.3648,4,-8,3,-7
10567,1,5,-.2881,3,-7,-7,-7
10568,1,8,-8,-8,-7,-7,-7
10569,1,8,-.482,2,6,1,-7
10570,1,6,-.1431,3,-8,2,0
10571,2,8,.1734,4,3,2,-7
10572,2,8,.0137,3,5,-7,-7
10573,2,5,-.7933,1,5,2,-7
10574,2,8,1.591,5,4,-7,-7
10575,1,8,.3514,4,3,2,-7
10576,2,8,-.1677,3,4,1,-8
10577,2,-9,-8,-8,-7,-7,-8
10578,2,8,-1.2098,1,-7,-7,-7
10579,1,8,.1099,4,4,2,-7
10580,1,8,.1874,4,6,-7,-7
10581,1,8,.221,4,-8,-8,-8
10582,1,6,.5911,5,4,1,-7
10583,1,2,-.0373,3,4,1,-7
10585,1,4,-1.3611,1,-8,-9,-8
10586,1,8,-.4469,2,-7,-7,-8
10587,2,2,-.7429,1,-8,-8,-8
10588,1,3,.8024,5,4,1,-7
10589,2,8,.2801,4,4,1,0
10590,1,5,.1524,4,-8,-8,-7
10591,2,8,.0414,3,4,1,0
10592,2,8,.5941,5,4,-8,0
10593,2,8,.6917,5,4,3,-8
10594,2,8,-.8391,1,4,1,0
10595,2,5,-.765,1,-7,-7,-8
10596,2,8,.421,4,4,3,-8
10597,1,5,-1.183,1,-7,-7,-7
10598,1,8,.1778,4,4,1,-8
10599,2,8,.2188,4,1,1,-8
10600,2,8,1.1489,5,-8,-8,-7
10601,2,8,1.0808,5,4,2,-9
10602,1,5,-1.1085,1,-7,2,-8
10603,2,8,1.3586,5,4,1,1
10604,1,8,.6225000000000001,5,6,1,-7
10605,1,8,-.2602,3,-8,-7,-9
10606,1,5,-1.0251,1,-7,2,-9
10607,2,8,-.1277,3,5,2,-7
10608,1,8,.0851,4,-8,1,-8
10609,2,8,1.0269,5,6,2,-7
10610,1,3,-1.245,1,-8,-8,-7
10611,2,8,.6856,5,-8,-8,-7
10612,2,8,1.1475,5,4,1,0
10613,2,2,.2706,4,4,1,0
10614,1,8,.1856,4,3,3,1
10615,1,3,-.2477,3,6,1,0
10616,2,5,.3672,4,4,1,1
10617,2,8,.1367,4,5,1,-8
10618,2,4,-.71,2,-8,-8,-8
10619,2,1,.2909,4,4,-4,-8
10620,1,8,.0813,4,-8,-7,-8
10621,2,8,.9587,5,4,3,1
10622,1,8,.4007,4,-8,-8,-8
10623,1,8,.1543,4,6,2,0
10624,2,8,-.5465,2,-7,-8,-9
10625,1,8,.0962,4,-8,-8,-8
10626,1,3,-.5813,2,-8,1,-7
10627,2,4,-1.2803,1,-7,-8,-7
10628,2,2,-.8602,1,6,3,0
10629,2,5,-.5770999999999999,2,-7,-7,0
10630,2,3,-1.0375,1,6,2,-8
10632,1,8,-.5592,2,4,2,-9
10633,1,3,.8692,5,6,-8,-8
10634,2,8,-.1113,3,4,2,-7
10635,1,2,1.3326,5,4,2,-7
10636,1,8,.0607,4,-8,-8,-8
10637,1,8,.4937,4,-8,2,-7
10639,1,6,.1245,4,-8,-8,-8
10640,2,8,.0443,3,6,-8,-8
10641,2,2,-8,-8,4,3,-8
10642,1,8,.5981,5,-8,2,-8
10643,2,5,-.7281,1,3,2,-7
10644,2,5,.0374,3,-7,-7,-9
10645,1,6,-.0754,3,4,2,1
10646,2,6,.3259,4,-7,-7,-8
10647,2,8,-.0996,3,4,2,0
10649,2,8,.8831,5,5,1,-7
10650,2,8,.7131999999999999,5,4,-8,-7
10651,2,8,-8,-8,6,-8,-7
10652,2,2,-.7157,2,4,-8,-9
10653,1,8,.4613,4,5,2,1
10654,1,2,-.5142,2,6,1,-7
10655,2,8,1.0269,5,4,2,1
10656,1,5,-.7147,2,5,3,-9
10657,1,5,-.9176,1,-8,-8,-8
10658,1,-9,-8,-8,5,-4,-8
10659,2,6,-.7751,1,4,1,1
10660,2,3,.9394,5,6,-7,0
10661,2,6,1.3935,5,4,2,0
10662,1,8,1.3306,5,4,3,-7
10663,2,8,.8459,5,4,-8,-8
10664,1,8,-.4046,2,-8,-8,-7
10665,2,8,.621,5,6,-8,-8
10666,2,8,1.1217,5,4,2,1
10667,1,6,-.3566,2,-8,-7,-8
10668,2,8,.1173,4,5,3,-7
10669,1,3,1.1166,5,4,3,-7
10670,1,5,.0736,4,-7,-7,-8
10671,1,8,-.17,3,6,-7,-9
10672,2,5,-.0289,3,-7,-7,-7
10673,1,5,-.9550999999999999,1,6,2,-7
10674,2,6,1.1745,5,4,-7,-7
10675,2,8,-.3551,2,-7,-7,-8
10677,1,8,.5316,4,6,2,0
10678,2,8,1.3101,5,-8,-8,-8
10679,1,5,-.6812,2,-8,-7,-8
10680,1,6,.3952,4,5,2,-7
10681,1,2,-8,-8,5,-8,-8
10683,1,3,-.5337,2,-8,-8,-8
10684,2,8,-.9901,1,-8,-7,-9
10685,2,5,-.4904,2,5,-8,-8
10686,1,8,-.4583,2,6,-8,-8
10687,1,8,.756,5,4,2,-7
10688,2,6,-.3173,3,4,1,-7
10689,2,8,-.8455,1,-8,1,-9
10690,2,8,.8375,5,-8,3,-7
10691,2,8,-.9072,1,3,2,-7
10692,1,8,.2587,4,-7,-7,-8
10693,1,5,-.1206,3,-7,-7,-7
10694,1,8,-.4806,2,-8,-8,-8
10695,1,3,.6152,5,2,2,1
10696,2,8,.028,3,4,-9,-9
10697,1,5,.7541,5,-7,-7,-8
10699,2,3,-1.1215,1,6,-8,-8
