STU_ID,X1SEX,X1RACE,X1SES,X1SESQ5,X4ATPRLVLA,S3CLGPELL
10275,1,3,0.0885,4,4,2
10277,1,3,-8,-8,4,1
10278,1,5,-0.6849,2,-7,-7
10280,1,6,1.4259,5,4,1
10281,2,8,-1.1012,1,-7,-7
10282,2,8,0.3877,4,-7,2
10283,2,6,0.3474,4,5,-7
10284,2,4,-0.6014,2,4,-4
10285,1,7,-0.2233,3,-7,-7
10286,1,8,1.1463,5,5,2
10287,2,5,-0.1576,3,5,-4
10288,2,8,-0.7426,1,2,1
10290,2,3,1.0467,5,4,-4
10291,2,8,0.4976,4,-8,-8
10293,1,3,0.2201,4,-7,-8
10294,1,8,0.5518,5,-7,-7
10297,2,8,1.0708,5,4,2
10298,1,-9,-8,-8,-7,-8
10299,2,2,-0.452,2,5,-7
10300,2,8,-0.6231,2,-8,-8
10301,1,8,0.257,4,6,-7
10302,1,3,0.1653,4,4,2
10303,1,2,-8,-8,5,-8
10304,1,5,1.0639,5,6,-8
10305,2,5,-1.0282,1,5,-7
10306,2,5,-1.4015,1,-8,-7
10307,1,8,-0.56,2,-7,-7
10308,1,3,-0.4475,2,-7,-7
10309,2,3,-0.056,3,5,2
10310,2,8,-0.3751,2,-8,-8
10311,1,3,0.4073,4,6,1
10312,2,2,-8,-8,-7,3
10314,2,6,-0.755,1,-7,-7
10315,1,8,0.4571,4,4,2
10316,2,8,1.0407,5,4,2
10317,1,3,0.7185,5,5,2
10318,1,8,-0.1639,3,-8,2
10320,2,2,-8,-8,4,1
10321,1,4,-8,-8,6,-7
10322,1,8,1.4893,5,4,3
10323,2,8,-0.2213,3,4,2
10324,2,8,0.7921,5,4,1
10325,1,5,-0.4129,2,-8,1
10326,2,2,2.007,5,4,1
10327,1,5,-0.8061,1,-7,-7
10328,2,8,2.5308,5,-7,-7
10329,2,8,0.3692,4,-8,-8
10330,1,8,-0.4794,2,-8,3
10331,2,8,0.3282,4,4,2
10332,1,8,0.6766,5,-8,2
10333,2,3,-1.5119,1,-7,2
10334,2,5,0.4939,4,2,3
10335,2,5,-0.3335,3,2,-8
10336,1,8,0.0885,4,5,2
10338,1,8,-0.0176,3,-8,3
10339,1,5,-0.3118,3,4,1
10340,1,8,0.4099,4,4,-8
10341,1,5,-1.1739,1,-7,-8
10342,1,3,0.5563,5,-9,1
10343,1,5,-0.8471,1,6,-8
10344,2,8,0.0502,4,3,3
10345,1,2,1.6564,5,-8,-8
10346,1,7,0.1658,4,-7,-7
10347,1,5,-0.2206,3,-7,-7
10348,1,5,1.1228,5,4,1
10349,1,5,-0.9147,1,-8,-8
