academicyr,unitid,cc2010,grantlow
2010,447069,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,146676,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,127024,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,146719,16. RU/H: Research Universities (high research activity),
2010,106713,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,201195,18. Master's L: Master's Colleges and Universities (larger programs),
2010,147341,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,163462,19. Master's M: Master's Colleges and Universities (medium programs),
2010,106102,19. Master's M: Master's Colleges and Universities (medium programs),
2010,139199,18. Master's L: Master's Colleges and Universities (larger programs),
2010,445434,23. Bac/Assoc: Baccalaureate/Associate's Colleges,
2010,230852,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,448804,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,110361,18. Master's L: Master's Colleges and Universities (larger programs),
2010,443687,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,148405,18. Master's L: Master's Colleges and Universities (larger programs),
2010,212771,18. Master's L: Master's Colleges and Universities (larger programs),
2010,141060,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,134149,20. Master's S: Master's Colleges and Universities (smaller programs),
2010,146393,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,167260,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,156189,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,212656,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,218238,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,219295,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,174844,21. Bac/A&S: Baccalaureate Colleges--Arts & Sciences,
2010,162210,22. Bac/Diverse: Baccalaureate Colleges--Diverse Fields,
2010,115746,17. DRU: Doctoral/Research Universities,
2010,224226,18. Master's L: Master's Colleges and Universities (larger programs),
