State,fy,state_abbrev,fips,lnnetut,lnstateap,lnfte,lnperinc
ARKANSAS,1999,AR,5,19.119312,20.122553,11.297291,10.967732
ARKANSAS,2000,AR,5,18.747858,20.223427,11.365156,11.018137
ARKANSAS,2001,AR,5,18.902605,20.242205,11.377529,11.06926
ARKANSAS,2002,AR,5,19.152458,20.270302,11.437361,11.092276
ARKANSAS,2003,AR,5,19.198278,20.240234,11.43505,11.149758
ARKANSAS,2004,AR,5,19.330639,20.309404,11.475141,11.212266
ARKANSAS,2005,AR,5,19.440554,20.30056,11.505206,11.264464
ARKANSAS,2006,AR,5,19.534037,20.438274,11.526276,11.327415
ARKANSAS,2007,AR,5,19.617523,20.495491,11.546061,11.390848
ARKANSAS,2008,AR,5,19.691378,20.595299,11.573136,11.427498
ARKANSAS,2009,AR,5,19.828335,20.603718,11.594266,11.410295
ARKANSAS,2010,AR,5,19.880676,20.673862,11.685904,11.443479
ARKANSAS,2011,AR,5,19.839762,20.738846,11.728722,11.508636
ARKANSAS,2012,AR,5,19.946375,20.741285,11.731466,11.580444
ARKANSAS,2013,AR,5,19.987072,20.738173,11.729302,11.582834
ARKANSAS,2014,AR,5,20.10154,20.72476,11.706558,11.639963
ARKANSAS,2015,AR,5,20.14739,20.71446,11.681891,11.671475
ARKANSAS,2016,AR,5,20.219252,20.712484,11.670869,11.695746
ARKANSAS,2017,AR,5,20.284569,20.697554,11.652478,11.733538
ARKANSAS,2018,AR,5,20.313862,20.705294,11.649761,11.777572
CALIFORNIA,1980,CA,6,19.191252,21.698957,13.794432,12.557814
CALIFORNIA,1981,CA,6,19.374653,21.847319,13.862443,12.674691
CALIFORNIA,1982,CA,6,19.598412,21.850822,13.88873,12.743568
CALIFORNIA,1983,CA,6,19.820139,21.812904,13.86776,12.820742
CALIFORNIA,1984,CA,6,19.850992,21.702456,13.809047,12.925852
CALIFORNIA,1985,CA,6,19.979036,22.061026,13.788596,13.003731
CALIFORNIA,1986,CA,6,20.039474,22.139532,13.79444,13.074605
CALIFORNIA,1987,CA,6,20.07967,22.288773,13.832965,13.148766
CALIFORNIA,1988,CA,6,20.146122,22.324127,13.855961,13.232187
CALIFORNIA,1989,CA,6,20.118679,22.346626,13.861714,13.305943
CALIFORNIA,1990,CA,6,20.293867,22.401932,13.947667,13.374965
CALIFORNIA,1991,CA,6,20.388212,22.47983,13.917807,13.409035
CALIFORNIA,1992,CA,6,20.62499,22.414358,13.925489,13.462328
CALIFORNIA,1993,CA,6,20.852274,22.281578,13.91512,13.486632
CALIFORNIA,1994,CA,6,20.976589,22.181927,13.882826,13.517682
CALIFORNIA,1995,CA,6,21.025591,22.297884,13.886014,13.567873
CALIFORNIA,1996,CA,6,20.990311,22.399353,13.914103,13.628779
CALIFORNIA,1997,CA,6,20.999836,22.504082,13.949909,13.690715
CALIFORNIA,1998,CA,6,21.030825,22.693436,13.961664,13.774636
CALIFORNIA,1999,CA,6,21.07206,22.714041,13.993551,13.841587
CALIFORNIA,2000,CA,6,20.803888,22.789169,14.175625,13.941231
CALIFORNIA,2001,CA,6,20.801012,22.92865,14.060279,13.975731
CALIFORNIA,2002,CA,6,20.803495,22.984829,14.085083,13.992081
CALIFORNIA,2003,CA,6,20.927204,22.972389,14.161881,14.037459
CALIFORNIA,2004,CA,6,21.261581,22.888361,14.15289,14.100242
CALIFORNIA,2005,CA,6,21.445177,22.936028,14.175624,14.157173
CALIFORNIA,2006,CA,6,21.69791,23.037334,14.132764,14.231624
CALIFORNIA,2007,CA,6,21.751505,23.124483,14.17667,14.273931
CALIFORNIA,2008,CA,6,21.406446,23.176014,14.225942,14.289618
CALIFORNIA,2009,CA,6,21.635376,23.137625,14.31016,14.256351
CALIFORNIA,2010,CA,6,21.76329,23.037266,14.293014,14.303144
CALIFORNIA,2011,CA,6,21.576241,23.119734,14.277166,14.368211
CALIFORNIA,2012,CA,6,21.969196,22.936615,14.248045,14.431992
CALIFORNIA,2013,CA,6,21.974888,22.961624,14.222272,14.45017
CALIFORNIA,2014,CA,6,22.032434,23.099606,14.23284,14.519122
CALIFORNIA,2015,CA,6,22.030416,23.231417,14.247177,14.591135
CALIFORNIA,2016,CA,6,22.098885,23.299131,14.240864,14.632595
CALIFORNIA,2017,CA,6,22.20915,23.33058,14.244849,14.678448
CALIFORNIA,2018,CA,6,22.28093,23.392742,14.255805,14.737437
COLORADO,1980,CO,8,18.445374,19.199547,11.637627,10.375084
COLORADO,1981,CO,8,18.619532,19.275948,11.660595,10.515506
COLORADO,1982,CO,8,18.757153,19.469051,11.673555,10.609205
COLORADO,1983,CO,8,18.893805,19.591925,11.68114,10.684966
COLORADO,1984,CO,8,18.941853,19.652658,11.674492,10.771533
COLORADO,1985,CO,8,19.028814,19.700781,11.641732,10.829412
COLORADO,1986,CO,8,19.070398,19.731712,11.62125,10.867539
COLORADO,1987,CO,8,19.15497,19.792116,11.638509,10.904119
COLORADO,1988,CO,8,19.210501,19.832644,11.669749,10.960531
COLORADO,1989,CO,8,19.332964,19.911785,11.718614,11.035051
COLORADO,1990,CO,8,19.38538,19.961411,11.757604,11.092352
COLORADO,1991,CO,8,19.509579,19.981558,11.785925,11.150549
COLORADO,1992,CO,8,19.623053,19.959267,11.807549,11.233198
COLORADO,1993,CO,8,19.73521,20.015818,11.825654,11.31218
COLORADO,1994,CO,8,19.766674,20.028517,11.820021,11.384911
COLORADO,1995,CO,8,19.822849,20.044022,11.815095,11.46844
COLORADO,1996,CO,8,19.885094,20.123974,11.815509,11.544773
COLORADO,1997,CO,8,19.913361,20.187122,11.821042,11.619158
COLORADO,1998,CO,8,19.952589,20.241352,11.832702,11.72076
COLORADO,1999,CO,8,19.999866,20.284451,11.847467,11.798263
COLORADO,2000,CO,8,20.019648,20.341745,11.861658,11.904461
COLORADO,2001,CO,8,19.937996,20.385828,11.859999,11.95118
COLORADO,2002,CO,8,20.03714,20.407892,11.903101,11.953783
COLORADO,2003,CO,8,20.243921,20.216497,11.959264,11.971684
COLORADO,2004,CO,8,20.445566,20.175827,11.990283,12.008267
COLORADO,2005,CO,8,20.441364,20.208969,11.999731,12.0741
COLORADO,2006,CO,8,20.524429,20.269852,11.97588,12.152018
COLORADO,2007,CO,8,20.485563,20.351892,11.966432,12.215409
COLORADO,2008,CO,8,20.629631,20.432219,12.011504,12.248836
COLORADO,2009,CO,8,20.744917,20.540798,12.052711,12.200054
COLORADO,2010,CO,8,20.91177,20.534433,12.140099,12.232578
COLORADO,2011,CO,8,21.040455,20.452948,12.183934,12.315613
COLORADO,2012,CO,8,21.08074,20.284948,12.168064,12.376414
COLORADO,2013,CO,8,21.136505,20.274246,12.146349,12.42634
COLORADO,2014,CO,8,21.235777,20.333311,12.127224,12.51101
COLORADO,2015,CO,8,21.22278,20.473175,12.111031,12.557553
COLORADO,2016,CO,8,21.282936,20.579866,12.102178,12.57619
COLORADO,2017,CO,8,21.344246,20.583166,12.112926,12.64676
COLORADO,2018,CO,8,21.419243,20.612047,12.122011,12.715727
CONNECTICUT,1980,CT,9,17.52664,19.001219,10.983749,10.558258
CONNECTICUT,1981,CT,9,17.521738,19.116823,11.008496,10.674591
CONNECTICUT,1982,CT,9,17.583664,19.210047,11.025019,10.751521
CONNECTICUT,1983,CT,9,17.753201,19.308983,11.034889,10.818938
CONNECTICUT,1984,CT,9,17.947472,19.390701,11.035664,10.93098
CONNECTICUT,1985,CT,9,18.103226,19.495684,11.015345,11.0021
CONNECTICUT,1986,CT,9,18.147558,19.577562,10.977859,11.075242
CONNECTICUT,1987,CT,9,18.155413,19.69939,10.966715,11.16256
CONNECTICUT,1988,CT,9,18.301897,19.826288,10.988001,11.260199
CONNECTICUT,1989,CT,9,18.397411,19.943689,11.022882,11.341532
CONNECTICUT,1990,CT,9,18.592953,20.024302,11.056809,11.372387
CONNECTICUT,1991,CT,9,18.717075,20.04678,11.056146,11.382999
