fips,state_abbrev,state,fy,state_appropr,fte_enrollment,fed_relief
5,AR,ARKANSAS,2007,628684148,103369,0
5,AR,ARKANSAS,2008,696190432,106206,0
5,AR,ARKANSAS,2009,702271943,108474,0
5,AR,ARKANSAS,2010,770927093,118884,13641365
5,AR,ARKANSAS,2011,823150391,124085,13641365
5,AR,ARKANSAS,2012,819881057,124426,0
5,AR,ARKANSAS,2013,810816178,124157,0
5,AR,ARKANSAS,2014,801842013,121365,0
5,AR,ARKANSAS,2015,799621607,118416,0
5,AR,ARKANSAS,2016,788472269,117112,0
5,AR,ARKANSAS,2017,772691447,116382,0
5,AR,ARKANSAS,2018,771608069,114872,0
5,AR,ARKANSAS,2019,788120622,113245,0
5,AR,ARKANSAS,2020,808767361,111155,0
5,AR,ARKANSAS,2021,810551303,105002,13000000
5,AR,ARKANSAS,2022,872885819,102567,0
5,AR,ARKANSAS,2023,874492166,103606,0
5,AR,ARKANSAS,2024,864871251,106724,0
6,CA,CALIFORNIA,1980,2650900000,979142,
6,CA,CALIFORNIA,1981,3080400000,1048051,
6,CA,CALIFORNIA,1982,3148400000,1075967,
6,CA,CALIFORNIA,1983,3021100000,1053638,
6,CA,CALIFORNIA,1984,2716100000,993557,
6,CA,CALIFORNIA,1985,3846800000,973445,
6,CA,CALIFORNIA,1986,4158900000,979150,
6,CA,CALIFORNIA,1987,4841700000,1017608,
6,CA,CALIFORNIA,1988,5049000000,1041280,
6,CA,CALIFORNIA,1989,5186800000,1047288,
6,CA,CALIFORNIA,1990,5494000000,1141287,
6,CA,CALIFORNIA,1991,6010700000,1107711,
6,CA,CALIFORNIA,1992,5708400000,1116255,
6,CA,CALIFORNIA,1993,5224200000,1104739,
6,CA,CALIFORNIA,1994,5065400000,1069633,
6,CA,CALIFORNIA,1995,5466000000,1073048,
6,CA,CALIFORNIA,1996,5964100000,1103616,
6,CA,CALIFORNIA,1997,6497700000,1143849,
6,CA,CALIFORNIA,1998,7813800000,1157374,
6,CA,CALIFORNIA,1999,7953100000,1194874,
6,CA,CALIFORNIA,2000,8385151000,1228982,
6,CA,CALIFORNIA,2001,9390676790,1322308,0
6,CA,CALIFORNIA,2002,10077667841,1409319,0
6,CA,CALIFORNIA,2003,10247288563,1459682,0
6,CA,CALIFORNIA,2004,9694081159,1445866,0
6,CA,CALIFORNIA,2005,9941565950,1446593,0
6,CA,CALIFORNIA,2006,10842345321,1447723,0
6,CA,CALIFORNIA,2007,11700128706,1504909,0
6,CA,CALIFORNIA,2008,12395405487,1559382,0
6,CA,CALIFORNIA,2009,11312204231,1633524,537000000
6,CA,CALIFORNIA,2010,11887873683,1617690,931030000
6,CA,CALIFORNIA,2011,11964817383,1580877,217079000
6,CA,CALIFORNIA,2012,10414119104,1525443,0
6,CA,CALIFORNIA,2013,10863467225,1500851,0
6,CA,CALIFORNIA,2014,12107234217,1532304,0
6,CA,CALIFORNIA,2015,13772499078,1563541,0
6,CA,CALIFORNIA,2016,14795761123,1584280,0
6,CA,CALIFORNIA,2017,15349839072,1590692,0
6,CA,CALIFORNIA,2018,16185961248,1606728,0
6,CA,CALIFORNIA,2019,17453433305,1591131,0
6,CA,CALIFORNIA,2020,17832520719,1590119,0
6,CA,CALIFORNIA,2021,18846994572,1502627,53975000
6,CA,CALIFORNIA,2022,21594119496,1412884,250000000
6,CA,CALIFORNIA,2023,21598960624,1434158,0
6,CA,CALIFORNIA,2024,22819962872,1520716,0
8,CO,COLORADO,1980,177300000,113281,
8,CO,COLORADO,1981,188300000,115913,
8,CO,COLORADO,1982,230100000,117425,
8,CO,COLORADO,1983,243900000,118319,
8,CO,COLORADO,1984,261200000,117535,
8,CO,COLORADO,1985,274900000,113747,
8,CO,COLORADO,1986,286000000,111441,
8,CO,COLORADO,1987,305000000,113381,
8,CO,COLORADO,1988,325200000,116979,
8,CO,COLORADO,1989,350400000,122837,
8,CO,COLORADO,1990,372500000,127721,
8,CO,COLORADO,1991,391300000,131390,
8,CO,COLORADO,1992,396400000,134262,
8,CO,COLORADO,1993,413000000,136715,
8,CO,COLORADO,1994,426400000,135947,
